Process,ActUnit,CapUnit
RHNCHPRG01,PJ,GW
RHNCHBRH01,PJ,PJ_a
RHNBLSRW01,PJ,PJ_a
RHNBLSRP01,PJ,PJ_a
RHNBLSRO01,PJ,PJ_a
RHNBLSRH01,PJ,PJ_a
RHNBLSRG01,PJ,PJ_a
RHNBLSRE01,PJ,PJ_a
RHNBLRRW01,PJ,PJ_a
RHNBLRRE01,PJ,PJ_a
RHNBLCRP01,PJ,PJ_a
RHNBLCRO01,PJ,PJ_a
RHNBLCRH01,PJ,PJ_a
RHNBLCRG01,PJ,PJ_a
RHNAHSUE01,PJ,PJ_a
RHNAHSRE01,PJ,PJ_a
RHNAHPUE01,PJ,PJ_a
RHNAHPRE01,PJ,PJ_a
RHNAHBUE01,PJ,PJ_a
RHNAHBRE01,PJ,PJ_a
RHEUND01,PJ,PJ_a
RHESTGNT01,PJ,PJ_a
RHESTGNT00,PJ,PJ_a
RHESHTRG01,PJ,PJ_a
RHESHTRG00,PJ,PJ_a
RHESHTRE01,PJ,PJ_a
RHESHTRE00,PJ,PJ_a
RHESA01,PJ,PJ_a
RHESA00,PJ,PJ_a
RHEREFCG01,PJ,PJ_a
RHERAD01,PJ,PJ_a
RHERAD00,PJ,PJ_a
RHENSTRE01,PJ,PJ_a
RHENSTRE00,PJ,PJ_a
RHEGHSUE01,PJ,PJ_a
RHEGHSRE01,PJ,PJ_a
RHEGHPUE01,PJ,PJ_a
RHEGHPRE01,PJ,PJ_a
RHEGHBUE01,PJ,PJ_a
RHEGHBRE01,PJ,PJ_a
RHEDHP401,PJ,PJ_a
RHEDHP400,PJ,PJ_a
RHEDHP301,PJ,PJ_a
RHEDHP300,PJ,PJ_a
RHEDHP201,PJ,PJ_a
RHEDHP200,PJ,PJ_a
RHEDHP101,PJ,PJ_a
RHEDHP100,PJ,PJ_a
RHECHPRW01,PJ,GW
RHECHPRH01,PJ,GW
RHECHPRG01,PJ,GW
RHECHBRH01,PJ,PJ_a
RHEBLSRW01,PJ,PJ_a
RHEBLSRP01,PJ,PJ_a
RHEBLSRO01,PJ,PJ_a
RHEBLSRH01,PJ,PJ_a
RHEBLSRG01,PJ,PJ_a
RHEBLSRE01,PJ,PJ_a
RHEBLRRW01,PJ,PJ_a
RHEBLRRW00,PJ,PJ_a
RHEBLRRO00,PJ,PJ_a
RHEBLRRG00,PJ,PJ_a
RHEBLRRE01,PJ,PJ_a
RHEBLRRE00,PJ,PJ_a
RHEBLRRC00,PJ,PJ_a
RHEBLCRP01,PJ,PJ_a
RHEBLCRO01,PJ,PJ_a
RHEBLCRO00,PJ,PJ_a
RHEBLCRH01,PJ,PJ_a
RHEBLCRG01,PJ,PJ_a
RHEBLCRG00,PJ,PJ_a
RHEAHSUE01,PJ,PJ_a
RHEAHSRE01,PJ,PJ_a
RHEAHPUE01,PJ,PJ_a
RHEAHPRE01,PJ,PJ_a
RHEAHPRE00,PJ,PJ_a
RHEAHBUE01,PJ,PJ_a
RHEAHBRE01,PJ,PJ_a
RHCSVWIN01,PJ,PJ_a
RHCSVSOL03,PJ,PJ_a
RHCSVSOL02,PJ,PJ_a
RHCSVSOL01,PJ,PJ_a
RHCSVLOF01,PJ,PJ_a
RHCSVFLU01,PJ,PJ_a
RHCSVFLR01,PJ,PJ_a
RHCSVDFT01,PJ,PJ_a
RHCSVCYL01,PJ,PJ_a
RHCSVCON01,PJ,PJ_a
RHCSVCAV02,PJ,PJ_a
RHCSVCAV01,PJ,PJ_a
REWETALL01,PJ,PJ_a
REWETALL00,PJ,PJ_a
RESWODL01,PJ,PJ_a
RESWODL00,PJ,PJ_a
RESWOD01,PJ,PJ_a
RESWOD00,PJ,PJ_a
RESSOL01,PJ,PJ_a
RESSOL00,PJ,PJ_a
RESPELH01,PJ,PJ_a
RESNGAS01,PJ,PJ_a
RESNGAS00,PJ,PJ_a
RESLPG01,PJ,PJ_a
RESLPG00,PJ,PJ_a
RESLFO01,PJ,PJ_a
RESLFO00,PJ,PJ_a
RESKER01,PJ,PJ_a
RESKER00,PJ,PJ_a
RESHYG01,PJ,PJ_a
RESELC01,PJ,PJ_a
RESELC00,PJ,PJ_a
RESCOK01,PJ,PJ_a
RESCOK00,PJ,PJ_a
RESCOA01,PJ,PJ_a
RESCOA00,PJ,PJ_a
RESBIOM01,PJ,PJ_a
RESBIOLFO01,PJ,PJ_a
REOTHER01,PJ,PJ_a
REOTHER00,PJ,PJ_a
RELITLED01,M-Units,M-Units_a
RELITLED00,M-Units,M-Units_a
RELITENS01,M-Units,M-Units_a
RELITENS00,M-Units,M-Units_a
RELITCON01,M-Units,M-Units_a
RELITCON00,M-Units,M-Units_a
RECOMPUT01,PJ,PJ_a
RECOMPUT00,PJ,PJ_a
RECOLREF02,M-Units,M-Units_a
RECOLREF01,M-Units,M-Units_a
RECOLREF00,M-Units,M-Units_a
