CaseName	Always	Always	Always	Always	Always	Always	Always	Always	Always	Always	Always	Always	Always	Always	Always	Always	Always	Always	Always	Discount rate	CB3	CB4	CB5	2050Target	Nuclear	CCS	Renewables Target
cases8ba	base	newagr	newelc	newind	newprc	newres	newrsr	newser	newtra	refscenario	syssettings	uc_base	uc_elc	uc_ind	uc_prc	uc_res	uc_rsr	uc_ser	uc_tra	discount_private	cb3-beat	cb4-hit	cb5-1900	2050-target-hit	NIL	NIL	re_target
cases8hz	base	newagr	newelc	newind	newprc	newres	newrsr	newser	newtra	refscenario	syssettings	uc_base	uc_elc	uc_ind	uc_prc	uc_res	uc_rsr	uc_ser	uc_tra	discount_private	cb3-beat	cb4-hit	cb5-2000	2050-target-hit	NIL	NIL	NIL
cases8jd	base	newagr	newelc	newind	newprc	newres	newrsr	newser	newtra	refscenario	syssettings	uc_base	uc_elc	uc_ind	uc_prc	uc_res	uc_rsr	uc_ser	uc_tra	discount_private	cb3-beat	cb4-hit	cb5-2000	2050-target-hit	NIL	uc_noccs	NIL
cases8pu	base	newagr	newelc	newind	newprc	newres	newrsr	newser	newtra	refscenario	syssettings	uc_base	uc_elc	uc_ind	uc_prc	uc_res	uc_rsr	uc_ser	uc_tra	discount_private	cb3-beat	cb4-hit	cb5-2100	2050-target-hit	NIL	NIL	re_target
cases8qv	base	newagr	newelc	newind	newprc	newres	newrsr	newser	newtra	refscenario	syssettings	uc_base	uc_elc	uc_ind	uc_prc	uc_res	uc_rsr	uc_ser	uc_tra	discount_private	cb3-beat	cb4-hit	cb5-2100	2050-target-hit	uc_nonuc	NIL	NIL
cases981	base	newagr	newelc	newind	newprc	newres	newrsr	newser	newtra	refscenario	syssettings	uc_base	uc_elc	uc_ind	uc_prc	uc_res	uc_rsr	uc_ser	uc_tra	discount_private	cb3-beat	cb4-hit	cb5-2300	2050-target-abandoned	NIL	NIL	NIL
cases9c7	base	newagr	newelc	newind	newprc	newres	newrsr	newser	newtra	refscenario	syssettings	uc_base	uc_elc	uc_ind	uc_prc	uc_res	uc_rsr	uc_ser	uc_tra	discount_private	cb3-beat	cb4-hit	cb5-2400	2050-target-hit	uc_nonuc	NIL	NIL
cases9dx	base	newagr	newelc	newind	newprc	newres	newrsr	newser	newtra	refscenario	syssettings	uc_base	uc_elc	uc_ind	uc_prc	uc_res	uc_rsr	uc_ser	uc_tra	discount_private	cb3-beat	cb4-hit	cb5-2400	2050-target-abandoned	NIL	NIL	NIL
cases9t4	base	newagr	newelc	newind	newprc	newres	newrsr	newser	newtra	refscenario	syssettings	uc_base	uc_elc	uc_ind	uc_prc	uc_res	uc_rsr	uc_ser	uc_tra	discount_private	cb3-beat	cb4-hit	cb5-2600	2050-target-abandoned	NIL	uc_noccs	re_target
cases9vr	base	newagr	newelc	newind	newprc	newres	newrsr	newser	newtra	refscenario	syssettings	uc_base	uc_elc	uc_ind	uc_prc	uc_res	uc_rsr	uc_ser	uc_tra	discount_private	cb3-beat	cb4-hit	cb5-2700	2050-target-hit	NIL	NIL	NIL
